Sport ,,Sport Persian,Competition,Country, Country Persian,Competition Persian
Football,SOCCER,فوتبال,2. Ligi - Group 2 (Kirmizi),Turkey,ترکیه,لیگ ۲ ترکیه  گروه ۲
Football,SOCCER,فوتبال,Süper Lig,Turkey,ترکیه,سوپر لیگ ترکیه
Football,SOCCER,فوتبال,1. Lig,Turkey,ترکیه,لیگ ۱ ترکیه
Football,SOCCER,فوتبال,U21 Ligi - Süper Lig Group,Turkey,ترکیه,سوپر لیگ زیر ۲۱ سال ترکیه
Football,SOCCER,فوتبال,Super League,Greece,یونان,سوپر لیگ یونان
Football,SOCCER,فوتبال,First League,Bulgaria,بلغارستان,لیگ دسته اول بلغارستان
Football,SOCCER,فوتبال,Primera Division,Venezuela,ونزوئلا,لیگ برتر ونزوئلا
Football,SOCCER,فوتبال,Segunda División,Venezuela,ونزوئلا,لیگ دسته دوم ونزوئلا
Football,SOCCER,فوتبال,Primera División Clausura,Peru,پرو,لیگ برتر پرو
Football,SOCCER,فوتبال,Stars League,Qatar,قطر,لیگ ستارگان قطر
Football,SOCCER,فوتبال,Q League,Qatar,قطر,لیگ کیو قطر
Football,SOCCER,فوتبال,S-League,Singapore,سنگاپور,اس‌لیگ سنگاپور
Football,SOCCER,فوتبال,Premier Division,Antigua and Barbuda,آنتیگوا و باربودا,لیگ برتر
Football,SOCCER,فوتبال,Liga Nacional Apertura,Guatemala,گواتمالا,لیگ ناسیونال گواتمالا
Football,SOCCER,فوتبال,K League Classic Relegation Round,South Korea,کره جنوبی,کی‌لیگ کلاسیک کره جنوبی
Football,SOCCER,فوتبال,K League Classic Championship Round,South Korea,کره جنوبی,کی‌لیگ کلاسیک  چمپیونشیپ کره جنوبی
Football,SOCCER,فوتبال,First League,Montenegro,مونته نگرو,لیگ دسته اول مونته‌نگرو
Football,SOCCER,فوتبال,B Kategoria,Cyprus,قبرس,لیگ دسته دوم قبرس
Football,SOCCER,فوتبال,Elite 2,Morocco,مراکش,لیگ دسته دوم مراکش
Football,SOCCER,فوتبال,Botola Pro,Morocco,مراکش,لیگ دسته اول مراکش
Football,SOCCER,فوتبال,Coupe du Trone,Morocco,مراکش,جام حذفی مراکش
Football,SOCCER,فوتبال,Premier League,Malta,مالت,لیگ برتر مالت
Football,SOCCER,فوتبال,First Division,Malta,مالت,لیگ دسته اول مالت
Football,SOCCER,فوتبال,Champions League,Sri Lanka,سری لانکا,لیگ قهرمانان سری لانکا
Football,SOCCER,فوتبال,Rwanda National Football league,Rwanda,رواندا,لیگ ملی رواندا 
Football,SOCCER,فوتبال,Ligue 1,Tunisia,تونس,لیگ  ۱ تونس
Tennis,TENNIS,تنیس,ITF Women Toyota, Doubles W-WITF-JPN-13A,Japan,ژاپن,آی‌تی‌اف زنان - دابل تویوتا ژاپن ۱۳ آ
Tennis,TENNIS,تنیس,ATP - Challenger Tour - Internazionali Citta di Brescia - Brescia,Italy,ایتالیا,ای تی پی-بین المللی شهر برشا ایتالیا
Tennis,TENNIS,تنیس,WTA Tour - OEC Taipei WTA Ladies Open - Taipei,Taiwan,تایوان,دبلیوتی‌ای او ای سی آزاد تایپه
Tennis,TENNIS,تنیس,WTA Double - OEC Taipei WTA Ladies Open - Taipei,Taiwan,تایوان,دبلیوتی‌ای او ای سی آزاد تایپه(دو نفره)
Tennis,TENNIS,تنیس,WTA Tour - Shenzhen Open - Shenzhen,China,چین,دبلیوتی‌ای-آ زاد شنزن
